2	To
AIR	As I remember
AISB	As it should be / As I said before
AISI	As I see it
AITR	Adult in the room
AKA	Also known as
ALCON	All concerned
ALOL	Actually laughing out loud
AMAP	As much as possible
AMBW	All my best wishes
AML	All my love
AMOF	As a matter of fact
AO	Anarchy Online
AOC	Available on cell
AOE	Area of effect
AOM	Age of majority / Age of Mythology
AOTA	All of the above
AOYP	Angel on your pillow
APAC	All praise and credit
APP	Application / Appreciate
AQAP	As quick as possible
ARC	Archive
ARE	Acronym rich environment
ARG	Argument
ASAP	As soon as possible
ASIG	And so it goes
ASL	Age/sex/location
ASLA	Age/sex/location/availability
AT	At your terminal
ATB	All the best
ATEOTD	At the end of the day
ATM	At the moment
ATSITS	All the stars in the sky
ATSL	Along the same line
AWC	After awhile crocodile
AWESO	Awesome
AWOL	Away without leaving / Absent without leave
AYDY	Are you done yet?
AYEC	At your earliest convenience
AYOR	At your own risk
AYS	Are you serious?
AYSOS	Are you stupid or something?
AYT	Are you there?
AYTMTB	And you are telling me this because
AYV	Are you vertical?
AYW	As you were / As you want / As you wish
AZN	Asian
B	Back / Be
B&	Banned
B/C	Because
B/F	Boyfriend
B/G	Background
B2B	Business-to-business
B2C	Business-to-consumer
B2W	Back to work
B4	Before
B4N	Bye for now
B8	Bait
B9	Boss is watching
BA	Bad ass
BAG	Busting a gut
BAK	Back at keyboard
BAMF	Bad ass mother fucker
BAS	Big ‘butt’ smile
BASOR	Breathing a sigh of relief
BAU	Business as usual
BAY	Back at ya
BB	Be back / Baby
BBC	Big bad challenge
BBIAB	Be back in a bit
BBIAF	Be back in a few
BBIAM	Be back in a minute
BBIAS	Be back in a sec
BBL	Be back later
BBN	Bye, bye now
BBQ	Barbeque / Ownage / shooting score / shooting frag
BBS	Be back soon
BBT	Be back tomorrow
BC	Because / be cool
BCNU	Be seeing you
BCO	Big crush on
BCOS	Because
BCOY	Big crush on you
BD	Big deal
BDAY	Birthday
B-DAY	Birthday
BDN	Big darn number
BEG	Big evil grin
BF	Boyfriend / Brain fart / Best friend
BF2	Battlefield 2
BFAW	Best friend at work
BFD	Big Fucking deal
BFF	Best friends forever
BFFL	Best friends for life
BFFLNMW	Best friends for life, no matter what
BFFN	Best friend for now
BFG	Big  Fucking grin
BFN	Bye for now
BG	Big grin
BGWM	Be gentle with me
BHL8	Be home late
BIB	Boss is back
BIBO	Beer in, beer out
BIC	Butt in chair
BIF	Before I forget
BIH	Burn in hell
BIL	Brother in law
BION	Believe it or not
BIOYA	Blow it out your ass
BIOYN	Blow it out your nose
BISFLATM	Boy, I sure feel like a turquoise monkey
BITMT	But in the meantime
BL	Belly laugh
BLNT	Better luck next time
BM	Bite me
BM&Y	Between me and you
BME	Based on my experience
BN	Bad news
BOB	Back off buddy
BOE	Bind on equip
BOL	Best of luck
BOLO	Be on the look out
BOM	bitch of mine
BOOMS	Bored out of my skull
BOP	bind on pickup
BOSMKL	Bending over smacking my knee laughing
BOT	Back on topic / Be on that
BOYF	Boyfriend
BPLM	Big person little mind
BR	Best regards
BRB	Be right back
BRBB	Be right back, babe
BRD	Bored
BRH	Be right here
BRNC	Be right back, nature calls
BRT	Be right there
BSF	But seriously folks
BSOD	Blue screen of death
BSTS	Better safe than sorry
BT	Bite this / Between technologies
BTA	But then again
BTDT	Been there, done that
BTW	By the way
BTYCL	Bootycall
BUBU	the most beautiful of women
BWL	Bursting with laughter
BYOB	Bring your own beer
BYOC	Bring your own computer
BYOD	Bring your own device
BYOH	Bat you on the head
BYOP	Bring your own paint / Bring your own paintball
BYTM	Better you than me
C&G	Chuckle and grin
C/P	Cross post
C4N	Ciao for now
CAD	Control, Alt, Delete / Canada / Canadian
CAM	Camera
CB	Coffee break / Chat break / Crazy bitch
CD9	parents are around
CFS	Care for secret?
CFY	Calling for you
CHK	Check
CIAO	Good-bye
CICO	Coffee in, coffee out
CID	Crying in disgrace / Consider it done
CLAB	Crying like a baby
CLD	Could
CLK	Click
CM	Call me
CMAP	Cover my ass, partner
CMB	Call me back
CMIIW	Correct me if I am wrong
CMON	Come on
CNP	Continued in next post
COB	Close of business
COH	City of Heroes
COS	Because
CP	Chat post
CR8	Create
CRA CRA	crazy
CRAFT	Can not remember a Fucking thing
CRB	Come right back
CRBT	Crying really big tears
CRE8	Create
CRIT	critical hit
CRS	Can not remember stuff
CRZ	Crazy
CSG	Chuckle, snicker, grin
CSL	Can not stop laughing
CSS	Counter-Strike Source
CT	Can not talk
CTC	Care to chat?
CTHU	Cracking the heck up
CTN	Can not talk now
CTO	Check this out
CU	See you
CU2	See you too
CUA	See you around
CUL	See you later
CUL8R	See you later
CULA	See you later alligator
CUMID	See you in my dreams
CURLO	See you around like a donut
CWOT	Complete waste of time
CWYL	Chat with you later
CX	Correction
CYA	See you
CYAL8R	See you later
CYE	Check your e-mail
CYEP	Close your eyes partner
CYO	See you online
D/L	Download
d00d	Dude
D2	Fingers
D46?	Down for sex?
DA	The
DAoC	Dark Age of Camelot
DBAU	Doing business as usual
DBEYR	Do not believe everything you read
DC	Disconnect
DD	Dear daughter / Darling daughter / Due diligence
DDG	Drop dead gorgeous
DEGT	Dear daughter / Darling daughter
DF	Do not even go there
DFL	Dead fucking last
DGA	Do not go anywhere
DGAF	Do not give a fuck
DGT	Do not go there
DGTG	Do not go there, girlfriend
DH	Dear husband / Darling husband 
DHU	Dinosaur hugs
DIIK	Darned if I know
DIKU	Do I know you?
DILLIGAF	Do I look like I give a fuck?
DILLIGAS	Do I look like I give a sugar?
DIS	Did I say?
DITYID	Did I tell you I am distressed?
DIY	Do it yourself
DKDC	Do not know, do not care
DKP	Dragon kill points
DL	Download / Down low
DLBBB	Do not let the bed bugs bite
DLTBBB	Do not let the bed bugs bite
DM	Does not matter / Direct message / Do me / Dungeon Master
DMNO	Dude Man No Offense
DMY	Do not mess yourself
DN	Down
DNC	Do not compute
DNR	Dinner
DNT	Do not
DOE	Daughter of Eve
DP	Display Picture
DPS	Damage per second
DQMOT	Do not quote me on this
DR	Did not read
DS	Dear son / Darling son
DTR	Define the relationship
DTRT	Do the right thing
DTS	Do not think so
DTTD	Do not touch that dial
DUPE	Duplicate
DUR	Do you remember?
DV8	Deviate
DW	Dear wife / Darling wife 
DWF	Divorced white female
DWM	Divorced white male
DXNRY	Dictionary
DYFI	Did you find it?
DYFM	Dude, you fascinate me
DYJHIW	Do not you just hate it when?
DYNWUTB	Do you know what you are talking about?
DYOR	Do your own research
E	Ecstasy / Enemy
E1	Everyone
E123	Easy as one, two, three
E2EG	Ear to ear grin
EAK	Eating at keyboard
EBKAC	Error between keyboard and chair
ED	Erase display
EF4T	Effort
EG	Evil grin
EI	Eat it
EIP	Editing in progress
EM	E-mail
EMA	E-mail address
EMFBI	Excuse me for butting in / Excuse me for jumping in
EMSG	E-mail message
ENUF	Enough
EOD	End of day / End of discussion
EOL	End of lecture / End of life
EOM	End of message
EOS	End of show
EOT	End of transmission
EQ	EverQuest 
ERS2	are you
ES	Erase screen
ESAD	Eat shit and die
ETA	Estimated time of arrival / Edited to add
EVA	Ever
EVO	Evolution
EWG	Evil wicked grin
EWI	Emailing while intoxicated
EYC	Excitable, yet calm
EZ	Easy
EZY	Easy
F	Female
F2F	Face to face
F2P	Free to play
FAAK	Falling asleep at keyboard
FAB	Fabulous
FAF	Funny as fuck
FAQ	Frequently asked questions
FAY	Fuck all you
FB	Facebook
FBC	Facebook chat
FBF	Fat boy food
FBFR	FaceBook friend
FBM	Fine by me
FBOW	For better or worse
FC	Fingers crossed / Full card 
FC’INGO	For crying out loud
FEITCTAJ	Fuck them if they ca not take a joke
FF	Follow Friday
FFA	Free for all
FFS	For fuck’ sakes
FICCL	Frankly I could not care a less
FIF	Fuck I am funny
FIIK	Fucked if I know
FIIOOH	Forget it, I am out of here
FIL	Father in law
FIMH	Forever in my heart
FISH	First in, still here
FITB	Fill in the blank
FML	Fuck My Life
FOAD	Fuck off and die
FOAF	Friend of a friend
FOMC	Falling off my chair
FOMCL	Falling off my chair laughing
FRT	For real though
FTBOMH	From the bottom of my heart
FTL	For the loss
FTW	For the win
FU	Fuck you
FUBAR	Fouled up beyond all recognition
FUBB	Fouled up beyond belief
FUD	Face up deal
FW	Forward
FWB	Friend with benefits
FWIW	For what it is worth
FWM	Fine with me
FYA	For your amusement
FYEO	For your eyes only
FYI	For your information
G	Grin / Giggle
G/F	Girlfriend
G2CU	Good to see you
G2G	Got to go
G2GICYAL8ER	Got to go I will see you later
G2R	Got to run
G2TU	Got to tell you
G4C	Going for coffee
G9	Genius
GA	Go ahead
GAC	Get a clue
GAFC	Get a fucking clue
GAL	Get a life
GAS	Got a second? / Greetings and salutations
GB	Goodbye
GBTW	Get back to work
GBU	God bless you
GD	Good
GD/R	Grinning, ducking, and running
GDR	Grinning, ducking, and running
GF	Girl friend
GFI	Go for it
GFN	Gone for now
GG	Gotta Go / Good Game / Brother
GGA	Good game, all
GGE1	Good game, everyone
GGMSOT	Gotta get me some of that
GGOH	Gotta Get Out of Here
GGP	Got to go pee
GGU2	Good game, you too
GH	Good hand
GIAR	Give it a rest
GIC	Gift in crib
GIGO	Garbage in, garbage out
GIRL	Guy in real life
GJ	Good job
GL	Good luck
GL/HF	Good luck, have fun
GL2U	Good luck to you
GLA	Good luck all
GLE	Good luck everyone
GLE1	Good luck everyone
GLNG	Good luck next game
GMBA	Giggling my butt off
GMTA	Great minds think alike
GMV	Got my vote
GN	Good night
GNA	Good night all
GNE1	Good night everyone
GNIGHT	Good night
GNITE	Good night
GNSD	Good night, sweet dreams
GOI	Get over it
GOL	Giggling out loud
GPOY	Gratuitous picture of yourself
GR&D	Grinning, running and ducking
GR8	Great
GRATZ	Congratulations
GRL	Girl
GRWG	Get right with God
GS	Good shot / Good split
GT	Good try
GTFO	Get the fuck out
GTG	Got to go
GTRM	Going to read mail
GTSY	Great to see you
GUD	Good
GWHTLC	Glad we had this little chat
H	Hug
H&K	Hugs and kisses
H2CUS	Hope to see you soon
H8	Hate
H8TTU	Hate to be you
HAG1	Have a good one
HAGN	Have a good night
HAGO	Have a good one
HAK	Hug and kiss
HAND	Have a nice day
HAU	How about you?
HB	Hurry back / Hug back
H-BDAY	Happy Birthday
HBU	How about you?
HF	Have fun
HFAC	Holy flipping animal crackers
H-FDAY	Happy Father’s Day
HHIS	Head hanging in shame
HL	Half Life
HLA	Hello
H-MDAY	Happy Mother’s Day
HNL	Whole another level
HOAS	Hold on a second
HP	Hit points / Health points
HRU	How are you?
HTH	Hope this helps
HUB	Head up butt
HUYA	Head up your ass
HV	Have
HVH	Heroic Violet Hold
HW	Homework
I2	Me too
IA8	I already ate
IAAA	I am an accountant
IAAD	I am a doctor
IAAL	I am a lawyer
IAC	In any case
IAE	In any event
IANAC	I am not a crook
IANAL	I am not a lawyer
IAO	I am out of here
IB	I am back
IC	I see
ICAM	I could not agree more
ICBW	It could be worse
ICEDI	I ca not even discuss it
ICFILWU	I could fall in love with you
ICYMI	In case you missed it
IDBI	I do not believe it
IDC	I do npt care
IDGAF	 I do not give a fuck
IDK	I do not know
IDTS	I do not think so
IDUNNO	I do not know
IFYP	I feel your pain
IG2R	I got to run
IGHT	I got high tonight
IGN	I have got nothing
IGP	I got to pee
IHNI	I have no idea
IIIO	Intel inside, idiot outside
IIRC	If I remember correctly
IK	I know
IKR	I know, right?
ILBL8	I will be late
ILU	I love you
ILUM	I love you man
ILY	I love you
IM	Instant message
IMAO	In my arrogant opinion
IMHO	In my humble opinion
IMNSHO	In my not so humble opinion
IMO	In my opinion
IMS	I am sorry
IMSB	I am so bored
IMTM	I am the man
IMU	I miss you
INAL	I am not a lawyer
INC	Incoming
IOMH	In over my head
IOW	In other words
IRL	In real life
IRMC	I rest my case
ISLY	I still love you
ITAM	It is The Accounting, Man
ITYK	I thought you knew
IUSS	If you say so
IWALU	I will always love you
IWAWO	I want a way out
IWIAM	Idiot wrapped in a moron
IYKWIM	If you know what I mean
IYO	In your opinion
IYQ	I like you
IYSS	If you say so
J/C	Just checking
J/J	Just joking
J/K	Just kidding
J/T	Just teasing
j00	You
j00r	Your
JAC	Just a second
JAM	Just a minute
JAS	Just a second
JC	Just checking
JDI	Just do it
JFF	Just for fun
JFGI	Just fucking Google it
JIC	Just in case
JJ	Just joking
JJA	Just joking around
JK	Just kidding
JLMK	Just let me know
JMO	Just my opinion
JP	Just playing / Jackpot
JT	Just teasing
JTLYK	Just to let you know
JV	Joint venture
JW	Just wondering
K	Okay
k/b	Keyboard
KB	Keyboard / Kick butt
KEWL	Cool
KEYA	I will key you later
KEYME	Key me when you get in
KFY	Kiss for you
KIA	Know it all
KISS	Keep it simple, stupid
KIT	Keep in touch
KK	Knock, knock / Okay, Okay
KMA	Kiss my ass
KMK	Kiss my keister
KMT	Kiss my tushie
KNIM	Know what I mean?
KNOW	Knowledge
KOC	Kiss on cheek
KOL	Kiss on cheek
KOS	Kid over shoulder
KOTC	Kiss on the cheek
KOTL	Kiss on the lips
KOW	Knock on wood
KPC	Keeping parents clueless
KS	Kill then steal
KSC	Kind of sort of chuckle
KT	Katie
KUTGW	Keep up the good work
L2G	Like to go? / Would love to go
L2K	Like to come
l33t	Elite
L8R	Later
L8RG8R	Later, gator
LBAY	Laughing back at you
LD	Later, dude / Long distance
LDO	Like, duh obviously
LEMENO	Let me know
LERK	Leaving easy reach of keyboard
LFD	Left for day
LGH	Lets get high
LH6	Lets have sex
LHM	Lord help me
LHO	Laughing head off
LHSX	Lets have sex
LI	LinkedIn
LIC	Like I care
LIK	Meaning liquor
LIMT	Laugh in my tummy
LLGB	Love, later, God bless
LLS	Laughing like silly
LMAO	Laughing my ass off
LMBO	Laughing my butt off
LMFAO	Laughing my fucking ass off
LMIRL	Lets meet in real life
LMK	Let me know
LMMFAO	Laughing my mother fucking ass off
LMNK	Leave my name out
LMS	Like my status
LNT	Lost in translation
LOA	List of acronyms
LOL	Laugh out loud
LOLH	Laughing out loud hysterically
LOLO	Lots of love
LOLWTF	Laughing out loud saying “What the fuck?”
LOTI	Laughing on the inside
LOTR	Lord of The Rings
LQTM	Laughing quietly to myself
LSHMBH	Laugh so hard my belly hurts
LSV	Language, sex and violence
LTD	Living the dream
LTLWDLS	Let’s twist like we did last summer
LTNS	Long time no see
LTOD	Laptop of death
LTS	Laughing to self
LULT	Love you long time
LULZ	Laugh out loud
LVM	Left voice mail
LWOS	Laughing without smiling
LY	Love you
LYLAS	Love you like a sister
LYLC	Love you like crazy
LYSM	Love you so much
M$	Microsoft
M8	Mate
MB	Mother’s boy
MBS	Mom behind shoulder
MC	Merry Christmas
MDIAC	My Dad is a cop
MEGO	My eyes glaze over
MEH	Shrug / So-so / just okay
MEHH	Sigh / sighing
MEZ	Mesmerize
MFI	Mad for it
MGB	May God bless
MGMT	Management
MIRL	Meet in real life
MKAY	Okay
MLM	Give the middle finger
MM	Sister
MMK	Okay
MNC	Mother nature calls
MNSG	Message
MOMBOY	Mother’s boy
MOO	My own opinion
MOOS	Member of the opposite sex
MorF	Male or female?
MOS	Mother over shoulder
MOSS	Member of same sex
MP	Mana points
MRT	Modified ReTweet
MSG	Message
MTF	More to follow
MTFBWU	May the force be with you
MU	Miss you
MUAH	Multiple unsuccessful attempts to humor
MUSM	Miss you so much
MWAH	Kiss
MYO	Mind your own
MYOB	Mind your own business
n00b	Newbie
N1	Nice one
N2M	Nothing too much
NADT	Not a darn thing
NALOPKT	Not a lot of people know that
NANA	Not now, no need
NBD	No big deal
NBFAB	No bad for a beginner
NC	Nice crib
ND	Nice double
NE	Any
NE1	Anyone
NFM	None for me / Not for me
NFS	Need for Speed / Not for sale
NFW	No fucking way / Not for work
NFWS	Not for work safe
NGL	Not going to lie
NH	Nice hand
NIFOC	Naked in front of computer
NIGI	Now I get it
NIMBY	Not in my back yard
NIROK	Not in reach of keyboard
NLT	No later than
NM	Nothing much / Never mind / Nice meld
NMH	Not much here
NMJC	Nothing much, just chilling
NMU	Not much, you?
NO1	No one
NOOB	Bad at online games
NOWL	Knowledge
NOYB	None of your business
NP	No problem
NPC	Non-playing character
NQT	Newly qualified teacher
NR	Nice roll
NRN	No response necessary / No reply necessary
NS	Nice score / Nice split
NSA	No strings attached
NSFW	Not safe for work
NSISR	Not sure if spelled right
NT	Nice try
NTHING	Nothing
NTS	Note to self
NVM	Never mind
NVR	Never
NW	No way
NWO	No way out
O	Hugs / Over
O4U	Only for you
OATUS	On a totally unrelated subject
OB	Oh baby / Oh brother
OG	Original gangster
OH	Overheard
OI	Operator indisposed
OIB	Oh, I am back
OIC	Oh, I see
OJ	Only joking
OL	Old lady
OLL	Online love
OM	Old man / Oh, my
OMAA	Oh, my aching ass
OMDB	Over my dead body
OMFG	Oh my fucking God
OMG	Oh my God
OMGYG2BK	Oh my God, you got to be kidding
OMW	On my way
ONL	Online
OO	Over and out
OOC	Out of character
OOH	Out of here
OOTD	One of these days
OOTO	Out of the office
OP	On phone
ORLY	Oh really?
OT	Off topic
OTB	Off to bed
OTFL	On the floor laughing
OTL	Out to lunch
OTOH	On the other hand
OTP	On the phone
OTT	Over the top
OTTOMH	Off the top of my head
OTW	Off to work
OVA	Over
OYO	On your own
P2P	Parent to parent / Peer to peer
P911	Parents coming into room alert
PAW	Parents are watching
PBOOK	Phonebook
PCM	Please call me
PDA	Personal display of affection
PDH	Pretty darn happy
PDQ	Pretty darn quick
PDS	Please do not shoot
PEEPS	People
PFT	Pretty fucking tight
PIC	Picture
PIP	Peeing in pants
PIR	Parents in room
PISS	Put in some sugar
PITA	Pain in the ass
PL8	Plate
PLD	Played
PLMK	Please let me know
PLS	Please
PLU	People like us
PLZ	Please
PLZTLME	Please tell me
PM	Private Message
PMFI	Pardon me for interrupting
PMFJI	Pardon me for jumping in
PMSL	Pee myself laughing
POAHF	Put on a happy face
POS	Parent over shoulder
POV	Point of view
PPL	People
PPU	Pending pick-up
PROGGY	Computer program
PROLLY	Probably
PRON	Pornography
PRT	Party / Please Retweet
PRW	People are watching / Parents are watching
PSOS	Parent standing over shoulder
PSP	Playstation Portable
PST	Please send tell
PTFO	Pass the fuck out
PTIYPASI	Put that in your pipe and smoke it
PTL	Praise the Lord
PTMM	Please tell me more
PTO	Paid time off / Personal time off / Parent Teacher Organization
PU	That stinks
PUG	Pick up group
PUKS	Pick up kids
PVP	Player versus player
PWN	Own
PXT	Please explain that
PYT	Pretty young thing
PZ	Peace
PZA	Pizza
Q	Queue
QC	Quality control
QFE	Question for everyone
QFI	Quoted for idiocy / Quoted for irony
QIK	Quick
QL	Quit laughing
QOTD	Quote of the day
QQ	Crying eyes / Quick question
QSL	Reply
QSO	Conversation
QT	Cutie
QTPI	Cutie pie
R	Are
R8	Rate
RBAY	Right back at you
RFN	Right fucking now
RHIP	Rank has its privileges
RIP	Rest in peace
RL	Real life
RLY	Really
RME	Rolling my eyes
RMLB	Read my lips baby
RMMM	Read my mail man
ROFL	Rolling on floor laughing
ROFLCOPTER	Rolling on floor laughing and spinning around
ROFLMAO	Rolling on the floor, laughing my ass off
ROTFL	Rolling on the floor laughing
ROTFLUTS	Rolling on the floor laughing unable to speak
RS	Runescape
RSN	Real soon now
RT	Roger that / Retweet
RTBS	Reason to be single
RTFM	Read the fucking manual
RTFQ	Read the fucking question
RTMS	Read the manual, stupid
RTNTN	Retention
RTRCTV	Retroactive
RTRMT	Retirement
RTSM	Read the stupid manual
RTWFQ	Read the whole fucking question
RU	Are you?
RUMOF	Are you male or female?
RUOK	Are you okay?
RUT	Are you there?
RW	Real world
RX	Regards / drugs / prescriptions
RYB	Read your Bible
RYO	Roll your own
RYS	Read your screen / Are you single?
S2R	Send to receive
S2S	Sorry to say
S4L	Spam for life
S’OK	It is okay
SAL	Such a laugh
SAT	Sorry about that
SB	Should be / Smiling back
SBIA	Meaning Standing back in amazement
SBT	Sorry about that
SC	Stay cool
SD	Sweet dreams
SDMB	Sweet dreams, my baby
SETE	Smiling Ear-to-Ear
SFAIK	So far as I know
SH	Same here
SH^	Shut up
SHID	Slapping head in disgust
SICNR	Sorry, I could not resist
SIG2R	Sorry, I got to run
SIHTH	Stupidity is hard to take
SIMYC	Sorry I missed your call
SIR	Strike it rich
SIS	Snickering in silence
SIT	Stay in touch
SK8	Skate
SK8NG	Skating
SK8R	Skater
SK8RBOI	Skater Boy
SLAP	Sounds like a plan
SMHID	Scratching my head in disbelief
SNAFU	Situation normal all fouled up
SNERT	Snot nosed egotistical rude teenager
SO	Significant other
SOAB	Son of a bitch
SOL	Sooner or later
SOMY	Sick of me yet?
SorG	Straight or Gay?
SOS	Help / Son of Sam
SOT	Short of time
SOTMG	Short of time, must go
SOWM	Someone with me
SPK	Speak
SPST	Same place, same time
SPTO	Spoke to
SQ	Square
SRSLY	Seriously
SRY	Sorry
SS	So sorry
SSDD	Same stuff, different day
SSIF	So stupid it is funny
SSINF	So stupid it is not funny
ST&D	Stop texting and drive
STFU	Shut the fuck up
STR8	Straight
STW	Search the Web
SUITM	See you in the morning
SUL	See you later
SUP	What’s up?
SUTH	So used to haters
SUX	Sucks
SUYF	Shut up you fool
SWAK	Sent with a kiss / Sealed with a kiss 
SWALK	Sealed with a loving kiss
SWAT	Scientific wild ass guess
SWL	Screaming with laughter
SWMBO	She who must be obeyed
SYL	See you later
SYS	See you soon
SYY	Shut your yapper
T:)T	Think happy thoughts
T+	Think positive
T4BU	Thanks for being you
TA	Thanks a lot
TAFN	That is all for now
TAM	Tomorrow a.m.
TANK	Really strong
TANKED	Owned
TANKING	Owning
TARFU	Things Are Really Fucked Up
TAU	Thinking about you
TAUMUALU	Thinking about you miss you always love you
TBAG	Taunting a fragged player / Taunting a killed player 
TBC	To be continued
TBD	To be determined
TBH	To be honest
TBL	Text back later
TC	Take care
TCB	Take care of business
TCOY	Take care of yourself
TD	Tower defense
TD2M	Talk dirty to me
TDTM	Talk dirty to me
TFF	Too fucking funny
TFS	Thanks for sharing
TFTF	Thanks for the follow
TFTI	Thanks for the invitation
TG	Thank goodness
TGIF	Thank God it is Friday
THNQ	Thank you
THNX	Thanks
THT	Think happy thoughts
THX	Thanks
TIA	Thanks in advance
TIAD	Tomorrow is another day
TIC	Tongue-in-cheek
TILIS	Tell it like it is
TIR	Teacher in room
TL	Too long
TLK2UL8R	Talk to you later
TMA	Take my advice
TMB	Text me back / Tweet me back
TMI	Too much information
TMOT	Trust me on this
TMTH	Too much to handle
TMWFI	Take my word for it
TNSTAAFL	There is no such thing as a free lunch
TNT	Till next time
TOJ	Tears of joy
TOS	Terms of service
TOU	Thinking of you
TOY	Thinking of you
TPM	Tomorrow p.m.
TPTB	The powers that be
TQ	I love you
TSH	Tripping so hard
TSNF	That is so not fair
TSTB	The sooner, the better
TTFN	Ta ta for now
TTG	Time to go
TTLY	Totally
TTTT	These things take time
TTUL	Talk to you later
TTYAFN	Talk to you awhile from now
TTYL	Talk to you later
TTYS	Talk to you soon
TU	Thank you
TUI	Turning you in
TWSS	That is what she said
TY	Thank you
TYAFY	Thank you and fuck you
TYFYC	Thank you for your comment
TYS	Told you so
TYSO	Thank you so much
TYT	Take your time
TYVM	Thank you very much
UCMU	You crack me up
UDM	You are the man
UDS	Ugly domestic scene
UFB	Un fucking believable
UFN	Until further notice
UGTBK	You have got to be kidding
UKTR	You know that is right
UL	Upload
U-L	You will
UN4TUN8	Unfortunate
UNA	Use no acronyms
UNBLEFBLE	Unbelievable
UNCRTN	Uncertain
UNPC	Not politically correct
UOK	Are you ok?
UR	You are
UR2YS4ME	You are too wise for me
URA*	You are a star
URH	You are hot
URSKTM	You are so kind to me
URTM	You are the man
URW	You are welcome
USBCA	Until something better comes along
USU	Usually
UT2L	You take too long
UTM	You tell me
UV	Unpleasant visual
UW	You are welcome
VBS	Very big smile
VEG	Very evil grin
VFF	Very fucking funny
VFM	Value for money
VGC	Very good condition
VIP	Very important person
VM	Voice mail
VN	Very nice
VRY	Very
VSC	Very soft chuckle
VSF	Very sad face
W/	With
W/B	Welcome back / Write back
W/E	Whatever
W/END	Weekend
W/O	Without
W@	What?
W3	WWW
W8	Wait
WAH	Working at home
WAJ	What a jerk
WAM	Wait a minute
WAN2	Want to?
WAN2TLK	Want to talk
WAS	Wait a second / Wild ass guess
WAWA	Where are we at?
WAYF	Where are you from?
WB	Welcome back
WBS	Write back soon
WBU	What about you?
WC	Welcome / Who cares
WCA	Who cares anyway
WDALYIC	Who died and left you in charge
WDYK	What do you know?
WDYT	What do you think?
WE	Whatever
WEBO	Webopedia
WEP	Weapon
WGACA	What do you think?
WH5	Who, what, when, where, why
WIBNI	Would not it be nice if
WIIFM	What is in it for me?
WISP	Winning is so pleasurable
WITP	What is the point?
WITW	What in the world
WIU	Wrap it up
WK	Week
WKD	Weekend
WL	What a loser
WOMBAT	Waste of money, brains and time
WRK	Work
WRT	With regard to
WRU@	Where are you at?
WRUD	What are you doing?
WTB	Want to buy
WTF	What the fuck
WTFE	What the fuck ever
WTFO	What the fuck?, over
WTG	Way to go
WTGP	Want to go private
WTH	What the heck?
WTM	Who is the man?
WU	What’s up?
WUCIWUG	What you see is what you get
WUF	Where are you from?
WUP	What’s up?
WUT	What
WUU2	What are you up to?
WUW	What do you want?
WUZ	Was
WWJD	What would Jesus do?
WWNC	Will wonders never cease
WWYC	Write when you can
WYCM	Will you call me?
WYD	What are you doing?
WYGAM	When you get a minute
WYHAM	When you have a minute
WYLEI	When you least expect it
WYSIWYG	What you see is what you get
WYWH	Wish you were here
X	Kiss
X!	A typical woman
X-1-10	Exciting
XD	Really hard laugh / devilish smile 
XLNT	Excellent
XLR8	Ffaster / going faster
XME	Excuse Me
XOXOXO	Hugs and Kisses
XYL	Ex-young lady
XYZ	Examine your zipper
