@>--;--	a rose
:-c	unhappy / very unhappy
|:-)	unibrow
q:-)	university graduate / catcher
:/	unsafe
:-/	unsafe / skeptical / perplexed
:-\	unsafe / undecided
(:-	unsmiling / blank expression
|:-|	unyielding
%-|	up all night / been up all night
:-[	vampire
:-||	very angry
;@	very angry
:-{{	very angry
:-)))	very happy
^^	very happy
^_^	very happy / overjoyed
(:-(	very sad / very unhappy
:-<	very sad / walrus
%')	very tired
@:-)	wavy hair
{(:-)	wearing a toupee
B-)	wearing glasses / cool
]-I	wearing sunglasses
{:-)	wears a toupee
(y)	well
:-1	whatever
:-"	whistling
(w)	wilted flower
.')	wink
;p	wink
;)	wink / left winking male smiley / winking
'-)	wink / winking
;-)	wink / winking variation / winking
;-d	winking and smiling
,-)	winking happy
;-P	winking smiley with sly expression
%*@:-(	hangover and headache / hungover and headache
:%)%	with acne / has acne
:(#)	with braces on teeth / has braces
l:-o	with cutting table
:-'	with dimple / has a dimple
:-!	with foot in mouth / foot in mouth
[:-)	with headphones / wearing a walkman
}:-)	with her hair parted in the middle / hair parted in the middle sticking up on sides
8-[	with nerves
]-|	with sunglasses
b:-)	with sunglasses on head
?-(	with the black eye / black eye
;-(	with the black eye / chin up
:-?	with tongue out / tongue sticking out / smoking a pipe
:-&	with tongue-tied / tongue tied
>-	woman
:-)8:	woman
o+	woman
:-)8<	woman / big girl
:~)	wondering
8-]	wow !
(n)	wrong
,-}	wry and winking
}-)	wry smile
|-O	yawn
|-o	yawn
l-O	yawning
|^o	yawning / yawning or snoring variation
8-p	yuck !
$-)	yuppie
