id	text	HS	TR	AG
223	np00000 np00000 np00000 np00000 np00000 dn0000 zm np00000 np00000 np00000 np00000 z0 vm00000 np00000 np00000 np00000 np00000 np00000 np00000 aq0000 dn0000 nc0p000 np00000 np00000 fh aq0000 np00000 vmsp000 vmsp000 nc00000 np00000 np00000 np00000	0	0	0
224	i np00000 vmsp000 aq0000 nc0s000 nc0s000 np00000 np00000 np00000 np00000 np00000	0	0	0
225	np00000 np00000 np00000 vaip000 rg vmsp000 vmsp000 vmn0000 di0000 np00000 vaip000 vmn0000 np00000 np00000 np00000 vmsp000 np00000 z0 np00000 vmip000 np00000 nc0s000 np00000 pd000000 np00000	0	0	0
226	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	1	0	1
227	np00000 vmip000 sp000 aq0000 vmif000 word nc0p000 vmip000 rg nc0s000 aq0000 aq0000 np00000 np00000 vmm0000 vmis000 aq0000 np00000 aq0000 vmn0000 nc0s000 np00000 np00000 np00000 nc0p000 np00000 np00000 np00000 np00000 vmsi000 da0000 np00000 np00000 np00000 np00000 np00000 nc0s000 np00000 nc0s000 vmis000 nc0s000 vmn0000 nc0s000	0	0	0
228	i nc0s000 np00000 np00000 nc0s000 aq0000 nc0s000 aq0000 np00000 np00000 np00000 vmsp000 nc0s000	1	0	1
229	np00000 np00000 np00000 np00000 aq0000 nc0s000 aq0000 vmsp000 np00000 np00000	0	0	0
230	z0 nc00000 aq0000 z0 nc00000 nc0s000 np00000 z0 nc00000 np00000 np00000 np00000 rg vmis000 nc0s000 dn0000 nc0p000 aq0000 nc0s000 np00000 np00000 nc0n000 np00000 nc0n000 np00000	1	0	1
231	np00000 np00000 np00000 np00000 nc00000 nc00000 aq0000 np00000 np00000 np00000	0	0	0
232	va00000 nc0p000 nc0s000 aq0000 vmsp000 np00000 np00000 np00000 np00000 np00000 aq0000 nc0s000 cc da0000 np00000 np00000 np00000 np00000 np00000 fg aq0000 np00000 np00000 fg	0	0	0
233	np00000 vmsp000 vmsp000 sp000 np00000 vmsp000 rg np00000 np00000 vaip000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 nc0s000 np00000 nc0s000 nc0s000 nc0s000 aq0000 nc0s000 cc aq0000 np00000 np00000 np00000 nc0n000 nc0p000 vmn0000 nc0s000 pp000000 np00000 np00000 np00000 np00000 np00000	0	0	0
234	np00000 zm np00000 vmip000 nc0n000 np00000 np00000 np00000 np00000 np00000 nc0p000 cc np00000 aq0000 fh np00000 fh np00000 np00000 np00000 np00000 vmsp000 sp000 aq0000 np00000 np00000 vmis000 np00000 np00000 np00000 np00000 z0 cc	1	0	0
235	np00000 np00000 np00000 fd nc00000 va00000 np00000 aq0000 vmis000 aq0000 fc aq0000 nc0s000	0	0	0
236	i np00000 np00000 np00000 np00000 nc0p000 rg nc0s000 vmn0000 nc0s000 fg aq0000 np00000 np00000 fg	1	0	1
237	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
238	np00000 vaip000 aq0000 vmis000 aq0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmn0000 z0 vmn0000 nc0p000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 fg nc0s000 np00000 aq0000 np00000 np00000 np00000 np00000	0	0	0
239	np00000 np00000 np00000 np00000 aq0000 sp000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmsp000 nc0s000 np00000 np00000 fh aq0000 vmsp000 aq0000 nc0s000 di0000 nc0p000 nc0s000	1	0	0
240	np00000 vmsp000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
241	i np00000 np00000 np00000 np00000 np00000 nc0s000 np00000 np00000 np00000 np00000 nc00000 aq0000 vmn0000 nc0s000 fg aq0000 np00000 np00000 fg	1	0	0
242	np00000 fh aq0000 vmip000 nc0s000 np00000 np00000 np00000 vmip000 np00000 np00000 np00000 nc00000 np00000 np00000 np00000 np00000	0	0	0
243	np00000 np00000 np00000 np00000 np00000 np00000 cc vmip000 np00000 np00000 np00000	1	0	1
244	np00000 nc0p000 np00000 np00000 np00000 vaip000 nc0s000 nc0n000 nc0s000 aq0000 nc0s000 nc0s000 nc0s000 aq0000 np00000 np00000 np00000 np00000 rg np00000 fh aq0000 z0 np00000 fh aq0000 z0 nc0s000 fh aq0000 z0 np00000 fh aq0000 z0 np00000 fh aq0000 z0	0	0	0
245	np00000 nc0p000 vmis000 np00000 np00000 nc0n000 np00000 np00000 aq0000 vmsp000 nc0s000	0	0	0
246	vmn0000 sp000 np00000 vmsp000 vmic000 vaip000 vmp0000 vmis000 np00000 np00000 np00000 np00000 np00000	1	0	1
247	pd000000 vmip000 np00000 np00000 np00000 np00000 np00000 np00000 nc0s000 np00000 np00000 z0 nc0s000 aq0000 np00000	1	0	0
248	sp000 aq0000 nc0s000 vmip000 da0000 np00000 vmsp000 vmn0000 nc0s000 vaip000 nc0s000 aq0000 np00000 nc0s000 cc nc0p000 np00000 np00000 aq0000 nc0n000 word np00000 np00000 np00000 aq0000 np00000 aq0000 np00000 np00000 np00000 np00000 z0 nc00000 nc00000 nc0s000 np00000 z0 np00000	0	0	0
249	np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmn0000 cc nc0s000 cc nc0s000 np00000 np00000 np00000 np00000 np00000 aq0000 np00000 sp000 np00000 np00000	0	0	0
250	np00000 pd000000 vmip000 np00000 np00000 vm00000 di0000 nc0s000 np00000 np00000 np00000 fh aq0000 nc0s000 np00000 np00000 np00000 np00000 np00000 fh np00000 np00000 vmsp000 sp000 np00000 np00000 np00000 np00000 np00000 np00000 vm00000 np00000	1	0	0
251	np00000 np00000 np00000 np00000 vaip000 sp000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 vmsp000 nc0s000 vmn0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 fh aq0000 pd000000 np00000 vaip000 sp000 np00000 np00000 sp000 aq0000 np00000 np00000 np00000 np00000 np00000	0	0	0
252	vmn0000 np00000 np00000 np00000 np00000 np00000 np00000 sp000 vsip000 np00000 sp000 nc0s000 nc0s000 aq0000 aq0000 da0000 np00000 z0 np00000 nc0n000 z0 vmis000 np00000 np00000 np00000 np00000 np00000 nc0n000 np00000 np00000 nc0s000 np00000 np00000 nc0s000 np00000 np00000 nc0s000 nc0s000 aq0000 nc0s000 sp000 nc0s000 vmis000 np00000 np00000 vmip000 np00000 aq0000 np00000	0	0	0
253	np00000 np00000 np00000 np00000 np00000 nc0s000 cc da0000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
254	np00000 fh aq0000 nc0s000 aq0000 fh np00000 fh np00000 nc0s000 np00000 np00000 ao0000 fh np00000 np00000 np00000 np00000 nc0s000 sp000 np00000	0	0	0
255	np00000 sp000 nc0s000 nc0s000 np00000 np00000 np00000 np00000 sp000 nc0s000 np00000 np00000 vmn0000 nc0p000 cc nc0p000 np00000 np00000 np00000 np00000 vmsp000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
256	vmif000 nc0s000 np00000 np00000	1	0	1
257	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 nc00000 np00000	0	0	0
258	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
259	np00000 nc00000 aq0000 sp000 vmn0000 z0 vmn0000 nc0p000	0	0	0
260	np00000 np00000 nc00000 np00000 sp000 nc0s000 pr000000 vaip000 nc0s000 nc0n000 np00000 aq0000 vmn0000 di0000 nc0p000 cc vaip000 sp000 nc0p000 np00000 np00000 np00000 aq0000 nc0n000 nc0s000	0	0	0
261	np00000 vsis000 np00000 np00000 np00000 np00000 np00000 np00000 fh np00000 fh np00000 nc0s000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmsp000 np00000 np00000 np00000 np00000 np00000 np00000 fh aq0000 vm00000 np00000 np00000 vmsp000 vmn0000 np00000	1	0	1
262	np00000 np00000 aq0000 np00000 np00000 aq0000 cc nc0s000 vmn0000 vmsi000 nc0s000 np00000 np00000 np00000 np00000 fp fp fp fp fp fp	1	0	1
263	np00000 np00000 nc00000 aq0000 nc0n000	0	0	0
264	rg np00000 nc0p000 aq0000 vsip000 np00000 aq0000 np00000 np00000 fg vmip000 vmsp000 np00000 np00000 np00000 np00000	1	0	0
265	np00000 np00000	0	0	0
266	np00000 vm00000 sp000 nc0s000 dp0000 nc0s000 vmip000 np00000 np00000 np00000 aq0000 vmn0000 vmp0000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 aq0000 word np00000 day,” np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
267	np00000 np00000 sp000 nc00000 rg aq0000 np00000 pp000000 cc da0000 aq0000 np00000 np00000 np00000 nc00000 pd000000 np00000 np00000 np00000 fh aq0000	0	0	0
268	np00000 ao0000 fh np00000 np00000 np00000 np00000 vmip000 np00000 np00000 np00000 np00000 np00000 np00000 nc0s000 aq0000 vmsp000 nc0p000 pp000000 vmic000 np00000 np00000 np00000 np00000 np00000	0	0	0
269	np00000 fh nc00000 np00000 np00000 dn0000 nc00000 np00000 np00000 np00000 np00000 vmip000 np00000 nc0s000 np00000 np00000 np00000 nc0s000 cc nc0s000 word np00000 np00000 np00000 np00000 z0 z0 fs	1	0	1
270	nc0n000 np00000 vmip000 nc0s000 nc0s000 np00000 np00000 np00000 np00000 np00000 vmip000 nc0s000 vmn0000 np00000 vaip000 nc0s000 np00000 w np00000 np00000 np00000 np00000 vmip000 np00000 np00000 np00000 np00000 np00000 nc0s000 aq0000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmn0000	1	0	0
271	nc0p000 np00000 np00000 np00000 vmsp000 vmn0000 np00000 np00000 np00000 vmsp000 vm00000 di0000 nc0p000 aq0000 vmis000 vmn0000 nc0s000 aq0000 vmsp000 vmn0000 np00000 np00000 np00000 np00000 np00000 nc0s000 nc0s000 aq0000 np00000 np00000 np00000 np00000 np00000 z0 np00000 pp000000 va00000 np00000 np00000 vmm0000 rg	0	0	0
272	np00000 np00000 np00000 np00000 nc00000 np00000	0	0	0
273	np00000 np00000 fh np00000 nc0p000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	1	0	1
274	vmis000 nc0s000 aq0000 np00000 np00000 vm00000 sp000 nc0p000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 z0 aq0000 nc0s000 di0000 nc0s000 nc00000 aq0000	0	0	0
275	np00000 np00000 rg np00000 aq0000 np00000 np00000 np00000 nc0s000 nc0s000 cc nc0s000 np00000 np00000	1	0	0
276	np00000 np00000 np00000 vmsp000 aq0000 nc0p000 cc vmn0000 nc00000 np00000 aq0000 vmn0000 np00000 np00000 np00000 np00000 np00000 nc0p000 rg aq0000 np00000 np00000 np00000 np00000 np00000 np00000 nc0s000 np00000 np00000 np00000 vmsp000 aq0000 nc0p000 cc vmn0000 np00000	1	0	0
277	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmif000 aq0000 sp000 np00000 np00000 np00000 np00000 np00000 aq0000 aq0000 np00000 np00000 np00000 fh np00000 fh np00000 np00000 nc0s000 np00000 np00000 fh aq0000 np00000 np00000 aq0000 aq0000 nc0s000 aq0000 nc0s000 rg np00000 np00000	0	0	0
278	np00000 np00000 np00000 rg vmip000 np00000 np00000 np00000 np00000 np00000 vmsp000 word np00000	0	0	0
279	np00000 vmsp000 vmsp000 vmsp000 vmsp000 nc0p000 nc00000 np00000 np00000 cc nc0s000 nc0s000 nc0s000 np00000 np00000 nc0s000 cc nc0s000 vmsp000 nc0s000 aq0000 vmsp000 np00000 vaip000 nc0s000 cc nc0s000 np00000	0	0	0
280	aq0000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmip000 vaip000 np00000 np00000 pd000000 pp000000 np00000 np00000 nc0s000 np00000 np00000 np00000 z0 zm sp000 np00000	1	0	0
281	np00000 sp000 nc0s000 aq0000 np00000 np00000 i np00000 np00000 nc0p000 aq0000 nc00000 rg aq0000 nc0s000 np00000 np00000 np00000	0	0	0
282	nc0n000 nc0s000 nc0s000 nc0s000 nc0s000 aq0000 vmsp000 vmis000 np00000 np00000 np00000 np00000 vmn0000 np00000	1	0	1
283	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmip000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 nc0s000	0	0	0
284	np00000 np00000 np00000 vmip000 nc0s000 sp000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 vmip000 vaip000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmip000 np00000 np00000 va00000 nc0p000 np00000 np00000 np00000 vmsp000 np00000 cc nc0s000 np00000 np00000 nc0s000 fat np00000	1	0	1
285	np00000 np00000 np00000 np00000 vmip000 np00000 np00000 np00000 np00000 z0 vmis000 np00000 vmn0000 np00000 vaip000 vmip000 nc0s000 sp000 aq0000 vaip000 vmp0000 nc0s000 nc0s000 np00000 sp000 nc0s000 np00000 np00000	0	0	0
286	np00000 np00000 nc0s000 fh vmn0000 np00000 nc0s000 np00000 sp000 np00000 sp000 np00000 np00000 cc aq0000 np00000 aq0000 np00000 aq0000 np00000 nc0n000 np00000 np00000 nc0p000 cc nc0s000 np00000 np00000	1	0	0
287	vmip000 aq0000 da0000 nc0s000 vmip000 nc0s000 np00000 np00000 sp000 np00000 nc0s000 cc sp000 np00000 nc0s000 aq0000 np00000 np00000 np00000 vmn0000 nc0p000 np00000 np00000 nc00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmis000 np00000 nc0s000 np00000 nc0s000 vmip000 np00000 np00000 np00000 np00000 np00000 np00000 z0 vmis000 cc di0000 ao0000	0	0	0
288	i dn0000 nc0p000 np00000 vmn0000 np00000 z0 vmip000 vmsp000 np00000 nc0n000 vmip000 nc0s000 np00000 np00000 np00000 np00000	0	0	0
289	np00000 vmsp000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 sp000	0	0	0
290	np00000 np00000 np00000 np00000 vmsp000 np00000	0	0	0
291	np00000 fh np00000 nc00000 aq0000 vmis000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	1	0	0
292	np00000 np00000 nc0s000 cc nc0s000 aq0000 vmsp000 vmm0000 aq0000 nc0s000 aq0000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 fh aq0000 vmis000 vm00000 di0000 nc0s000 px000000 np00000 np00000 nc0s000 aq0000 np00000 vmis000 aq0000 np00000 np00000 nc00000 nc0s000 cc nc0s000 vmip000 nc0s000 cc vaip000 vmp0000 np00000	0	0	0
293	nc00000 nc00000 nc00000 vmm0000 np00000 pd000000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmip000 np00000 nc0s000 nc0s000 cc z0 np00000 np00000 np00000 np00000 np00000 np00000 vaip000 nc0s000 np00000 np00000 np00000 nc0s000 sp000 np00000 cc np00000 np00000	0	0	0
294	np00000 np00000 np00000 np00000 np00000 np00000 nc00000 cc nc00000 fc vaip000 np00000 np00000 np00000 w np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 nc0s000 np00000 nc0s000 np00000 nc0n000 aq0000 np00000 nc0s000	0	0	0
295	np00000 np00000 aq0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 fh np00000 np00000 np00000 np00000	0	0	0
296	np00000 np00000 pp000000 np00000 pp000000 vaip000 np00000 np00000 np00000 ao0000 np00000 sp000 pp000000 np00000	1	0	1
297	np00000 np00000 vmis000 np00000 aq0000 nc0s000 aq0000 pd000000 nc0s000 vmip000 sp000 np00000 np00000 np00000 np00000 np00000	1	0	1
298	np00000 vmg0000 nc00000 np00000 z0 aq0000 nc0p000 aq0000 nc0s000 nc0p000 vmn0000 nc0p000 np00000 np00000 vmis000 np00000 np00000 np00000 fh aq0000 nc0s000 np00000 np00000 np00000 np00000 np00000	0	0	0
299	dd0000 nc00000 aq0000 vmn0000 np00000 np00000 np00000 np00000 np00000	1	1	1
300	np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
301	np00000 np00000 np00000 vmis000 np00000 np00000 np00000	0	0	0
302	np00000 np00000 vmip000 np00000 np00000 np00000 np00000 z0 np00000 aq0000 vm00000 dn0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	1	0	0
303	aq0000 vmis000 np00000 np00000 np00000 aq0000 sp000 vmn0000 z0 vmm0000 np00000 np00000 nc00000 aq0000 nc0s000 np00000 vmsp000 nc00000 aq0000	1	0	1
304	np00000 sp000 vmn0000 nc00000 pd000000 vmip000 da0000 nc0p000 np00000 np00000 np00000 nc00000 aq0000	0	0	0
305	np00000 np00000 fx np00000 np00000 z0 np00000 np00000	0	0	0
306	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 dn0000 np00000 np00000 ImmigrationÂ np00000	0	0	0
307	zm np00000 np00000 vsm0000 vm00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 sp000 nc0s000	1	0	1
308	fat np00000 np00000 fc cc fp	1	0	1
309	vmip000 nc0s000 pr000000 nc0n000 aq0000 aq0000	1	0	1
310	np00000 np00000 np00000 np00000 np00000 np00000 nc0s000 fh nc0s000 nc0s000 sp000 np00000 np00000 nc0p000 aq0000 nc0s000 aq0000 vmis000 aq0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 nc0s000 np00000 fx np00000 np00000 np00000 z0 z0 np00000 vmsp000 np00000 np00000 np00000 vmip000 np00000	0	0	0
311	np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
312	np00000 np00000 nc00000 nc0p000 np00000 np00000 np00000 nc0s000 np00000 np00000	0	0	0
313	np00000 np00000 np00000 np00000 np00000 np00000 np00000 cc nc0s000 rg fat	1	0	0
314	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	1	0	0
315	np00000 np00000 np00000 pn000000 np00000 sp000 nc0s000 aq0000 np00000 aq0000 sp000 np00000 np00000 np00000 nc0s000 np00000 fx np00000 np00000 np00000 np00000 z0 nc0p000 np00000 sp000 nc0s000 vmn0000 da0000 np00000 vsis000 aq0000 nc0s000 np00000 nc0s000 np00000 fx np00000 vmsp000 np00000 np00000 aq0000 nc0s000 np00000 np00000 np00000 np00000 vsis000 nc0s000 nc0s000 aq0000 aq0000 np00000 nc0s000 np00000 np00000 np00000 nc0s000 np00000	0	0	0
316	dd0000 nc0s000 np00000 np00000 np00000 vmn0000 vmsp000 nc0s000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 sp000 np00000 np00000 np00000 np00000 np00000 cc nc0s000 np00000 da0000 nc00000 np00000	0	0	0
317	np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmn0000 dn0000 nc0s000 aq0000 np00000 np00000	1	0	0
318	np00000 np00000 vmis000 vmis000 sp000 dp0000 nc0p000 fs	0	0	0
319	np00000 np00000 np00000 np00000 np00000 z0 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 fh aq0000 np00000 np00000 np00000 vmip000 np00000 np00000 np00000 np00000 nc0p000 np00000 np00000 np00000 np00000 np00000 vmip000 np00000 np00000 np00000 vmsp000 vmip000 da0000 np00000 np00000 np00000	1	0	0
320	vaip000 vmp0000 pd000000 np00000 np00000 rg vaip000 fh rg vmip000 sp000 aq0000 nc0s000 np00000 np00000 np00000 np00000 vaip000 nc0p000 np00000 np00000 np00000 nc0s000 aq0000 np00000 np00000 fh aq0000 nc0s000 np00000 np00000 np00000 aq0000 pp000000 vmip000 rg word aq0000 vmn0000 nc0s000 aq0000 nc0s000 cc nc0s000 i np00000 np00000 np00000	0	0	0
321	np00000 np00000 vaip000 nc0s000 np00000 np00000 aq0000 np00000 nc0p000 np00000 nc0n000 aq0000 nc0s000 pp000000 nc0n000 nc0p000	0	0	0
322	np00000 vmsp000 aq0000 da0000 nc0n000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 vmsp000 da0000 vmip000 nc0s000 np00000 np00000 np00000 vmis000 word aq0000 vmn0000 dt0000 nc0s000 vmip000 np00000	1	0	0
323	np00000 vmsp000 np00000 vmis000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000	0	0	0
324	np00000 vaip000 nc0s000 np00000 np00000 np00000 np00000 np00000 sp000 nc0s000 aq0000 vmsp000 nc0s000 np00000 np00000 np00000 np00000 np00000 sp000 nc0s000 vmn0000 vmn0000 nc0s000 np00000 w nc0s000 vmn0000 nc0s000 np00000 np00000 vmip000 np00000 np00000 fh aq0000 nc0s000 np00000 np00000 np00000	0	0	0
325	nc0n000 nc0s000 np00000 vmsp000	0	0	0
326	np00000 np00000 sp000 np00000 np00000 sp000 np00000 np00000 np00000 np00000 vmsp000 nc0p000 sp000 np00000 np00000 np00000 np00000 np00000 np00000 pd000000 np00000	1	0	1
327	vmif000 nc0s000 vmis000 nc0p000 nc0s000 nc0p000 fg nc0s000 nc00000 np00000 z0 np00000 np00000 da0000 np00000 np00000	0	0	0
328	np00000 vmsp000 aq0000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 z0 z0 vmm0000 np00000	0	0	0
329	np00000 fh aq0000 nc0p000 np00000 aq0000 np00000 np00000 np00000 np00000 aq0000 nc0s000 nc0p000 aq0000 aq0000 np00000 np00000 rg np00000 aq0000 np00000 nc0s000 vm00000 aq0000 np00000 aq0000 sp000 np00000 aq0000 np00000 np00000 vmn0000 nc00000 fz nc00000 np00000 np00000 np00000 np00000 np00000 fh nc00000 fh aq0000 sp000	0	0	0
330	nc0n000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 np00000 aq0000 vsip000 np00000 np00000 np00000 sp000 nc0s000 fat pp000000 va00000 np00000 aq0000 vmis000 aq0000 np00000 np00000 np00000 np00000 np00000 np00000 vmsp000 nc0s000 fc aq0000 np00000 sp000 np00000 cc aq0000 nc0p000 np00000	1	0	0
331	np00000 nc0p000 np00000 vmsp000 rg vmip000 aq0000 nc0p000 np00000 np00000	0	0	0
